,State,District,District Code,Total Population,Male,Female,Total Household,Agriculture (0-7),Land Improvement & Minor Irrigation (0-9),Animal Husbandry (0-6),Fisheries (0-2),Rural Housing (0-4),Drinking Water (0-3),Roads (0-8),Rural Electrification (0-3),Non-Conventional Energy (0-1),Maintenance of Community Assets (0-1),Fuel & Fodder (0-1),Libraries (0-1),Cultural Activities (0-1),Financial & Communication Infrastructure (0-9),Public Distribution System (0-2),Education (0-6),Vocational Education (0-2),Markets & Fairs (0-3),Health & Sanitation (0-11),Women & Child Development (0-7),Social Forestry (0-1),Family Welfare (0-1),Poverty Alleviation Programme (0-6),"Khadi, Village & Cottage Industries (0-3)",Small Scale Industries (0-1),Adult & Non-Formal Education (0-1),Census 2011 Code,District Name
0,RAJASTHAN (8),AJMER (86),86,214279.0,111885.0,101909.0,50622.0,0.9875,2.129166666666667,1.8083333333333331,0.04166666666666666,3.8666666666666663,1.0916666666666666,5.133333333333334,2.466666666666667,0.04166666666666666,0.3,0.7,0.03333333333333333,0.3083333333333333,3.845833333333333,1.1625,2.3291666666666666,0.2625,0.7041666666666667,3.475,2.3291666666666666,0.13333333333333333,0.3083333333333333,0.4916666666666666,0.016666666666666666,0.09166666666666666,0.025,119,AJMER
1,RAJASTHAN (8),ALWAR (87),87,490752.0,260115.0,227472.0,89204.0,1.1412213740458017,3.370229007633588,1.3702290076335877,0.053435114503816786,3.9618320610687023,1.1412213740458017,4.984732824427481,2.354961832061069,0.0916030534351145,0.3511450381679389,0.33969465648854963,0.13740458015267176,0.3854961832061069,4.25763358778626,1.2576335877862594,2.6603053435114505,0.4484732824427481,0.7041984732824428,3.7385496183206106,3.368320610687023,0.08778625954198473,0.36641221374045796,0.4064885496183206,0.06870229007633588,0.07633587786259542,0.12213740458015268,104,ALWAR
2,RAJASTHAN (8),BANSWARA (88),88,280850.0,141875.0,134616.0,56415.0,1.6850828729281768,3.4364640883977904,2.665745856353591,0.13259668508287292,3.0662983425414363,0.5469613259668509,4.892265193370166,1.4751381215469612,0.27624309392265195,0.4751381215469613,0.22099447513812154,0.09392265193370164,0.3093922651933701,3.243093922651933,0.8314917127071824,2.5331491712707184,0.4806629834254144,1.0856353591160222,3.2872928176795586,3.2016574585635365,0.13259668508287292,0.4861878453038674,1.6353591160220995,0.14917127071823205,0.055248618784530384,0.07734806629834254,125,BANSWARA
3,RAJASTHAN (8),BARAN (89),89,83127.0,43690.0,39182.0,17354.0,0.6933333333333334,2.82,1.1666666666666667,0.04,2.4,0.7333333333333333,4.473333333333334,2.046666666666667,0.013333333333333334,0.17333333333333334,0.6533333333333333,0.02666666666666667,0.17333333333333334,3.286666666666666,0.8533333333333334,1.7733333333333334,0.18,0.7533333333333333,3.033333333333333,3.5,0.09333333333333334,0.3466666666666667,0.9666666666666668,0.013333333333333334,0.02666666666666667,0.013333333333333334,128,BARAN
4,RAJASTHAN (8),BARMER (90),90,112726.0,58953.0,53558.0,22296.0,0.4,1.825,0.61,0.0,2.7,0.63,4.34,2.065,0.07,0.3,0.22,0.01,0.16,2.885,0.915,2.135,0.095,0.245,2.91,2.555,0.11,0.18,0.22,0.01,0.0,0.03,115,BARMER
5,RAJASTHAN (8),BHARATPUR (91),91,210672.0,103868.0,92958.0,34887.0,1.3805309734513274,2.9070796460176997,1.252212389380531,0.04424778761061947,3.8584070796460175,0.9292035398230089,5.115044247787612,2.207964601769912,0.02654867256637168,0.4247787610619469,0.3097345132743363,0.06194690265486725,0.3628318584070797,4.084070796460177,1.1283185840707963,2.557522123893805,0.4646017699115044,1.4115044247787611,3.6327433628318575,2.8230088495575223,0.10619469026548672,0.3539823008849557,0.5530973451327433,0.06194690265486725,0.06194690265486725,0.08849557522123894,105,BHARATPUR
6,RAJASTHAN (8),BHILWARA (92),92,108674.0,55570.0,52907.0,24421.0,1.004950495049505,2.8168316831683167,1.207920792079208,0.10891089108910892,3.584158415841584,1.5544554455445545,4.792079207920792,2.4257425742574257,0.049504950495049514,0.2277227722772277,0.6732673267326733,0.0297029702970297,0.21782178217821785,3.445544554455445,0.7673267326732673,2.118811881188119,0.16831683168316833,0.504950495049505,3.415841584158416,2.9108910891089113,0.1485148514851485,0.33663366336633666,0.4554455445544554,0.0594059405940594,0.1188118811881188,0.07920792079207921,122,BHILWARA
7,RAJASTHAN (8),BIKANER (93),93,452274.0,234367.0,203375.0,82083.0,1.045,2.855,1.0275,0.015,3.115,1.425,4.925,2.565,0.045,0.395,0.17,0.05,0.255,3.1375,0.83,2.0475,0.1325,0.5375,3.0475,2.2125,0.19,0.33,0.415,0.0,0.225,0.065,101,BIKANER
8,RAJASTHAN (8),BUNDI (94),94,168193.0,85157.0,75254.0,31197.0,0.926923076923077,4.088461538461538,1.0884615384615384,0.038461538461538464,3.1923076923076925,0.823076923076923,4.980769230769232,2.3423076923076924,0.030769230769230767,0.19230769230769232,0.2846153846153846,0.0,0.3461538461538461,2.8538461538461535,0.9346153846153846,1.811538461538461,0.3076923076923077,0.6730769230769231,3.507692307692308,3.7692307692307687,0.06923076923076922,0.3923076923076923,0.7576923076923077,0.0,0.015384615384615384,0.038461538461538464,121,BUNDI
9,RAJASTHAN (8),CHITTORGARH (95),95,122032.0,61851.0,60011.0,29214.0,1.2129629629629628,3.0046296296296298,1.2870370370370372,0.027777777777777776,3.657407407407408,1.4444444444444444,5.083333333333333,2.601851851851852,0.07407407407407407,0.3148148148148148,0.7777777777777778,0.04629629629629629,0.4444444444444444,3.8009259259259265,1.087962962962963,2.342592592592593,0.2824074074074074,0.5601851851851852,3.8194444444444446,3.3472222222222223,0.21296296296296294,0.39814814814814814,0.6111111111111112,0.0,0.0925925925925926,0.0925925925925926,126,CHITTORGARH
